obs_num,common_name,scientific_name,quality_grade,media_count,identifications_count,user,observed_date,place,added_date
48,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,kenniemerbach,"Apr 25, 2025 6:13 PM CDT","San Angelo, TX, US","Apr 26, 2025 7:30 AM CDT"
49,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,4,zstanfield,"Apr 25, 2025 6:52 PM CDT","Civic League Park, San Angelo, TX, US","Apr 25, 2025 8:53 PM CDT"
50,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,3,zstanfield,"Apr 25, 2025 7:08 PM CDT","Civic League Park, San Angelo, TX, US","Apr 25, 2025 8:35 PM CDT"
51,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"Apr 25, 2025 7:56 PM CDT","San Angelo, TX, USA","Apr 25, 2025 7:57 PM CDT"
52,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,3,glerbster,"Apr 25, 2025 7:50 PM CDT","San Angelo, TX, USA","Apr 25, 2025 7:51 PM CDT"
53,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,3,lauriejd,"Apr 25, 2025 3:35 PM CDT",San Angelo,"Apr 25, 2025 3:36 PM CDT"
54,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,kenniemerbach,"Apr 25, 2025 9:03 AM CDT","Red Dam Loop, San Angelo, TX, US","Apr 25, 2025 3:22 PM CDT"
55,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,novamater,"Apr 23, 2025 2:47 PM CDT","San Angelo, TX, US","Apr 25, 2025 2:45 PM CDT"
56,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,3,glerbster,"Apr 23, 2025 10:36 AM CDT","San Angelo, TX, USA","Apr 23, 2025 10:38 AM CDT"
57,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,3,darla5,"Apr 18, 2025 4:32 PM CDT","San Angelo, TX 76905, USA","Apr 18, 2025 4:32 PM CDT"
58,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,4,kenniemerbach,"Apr 3, 2025 6:25 PM CDT","San Angelo Dog Park, San Angelo, TX, US","Apr 4, 2025 11:31 PM CDT"
59,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,2,2,shearwaters,"Apr 2, 2025 6:24 PM CDT","Tom Green County, US-TX, US","Apr 2, 2025 6:31 PM CDT"
